Date,Code libellé,Libellé,Mini,Maxi,Moyen,Unité prix,,,
2018-02-08,57222318,KIWI France vrac,0,33,0,49,0,45,la pièce
2018-02-08,57219321,KIWI UE (hors Fr.) cdt 1kg,,,2,41,le kg,,
2018-02-08,57219323,MANGUE vrac,0,99,1,99,1,43,la pièce
2018-02-08,57219360,NOIX AOP Grenoble sac 1kg,,,5,89,le kg,,
2018-02-08,57223741,NOIX AOP Grenoble vrac,,,5,86,le kg,,
2018-02-08,57223725,NOIX sans label France sachet 500g,,,6,88,le kg,,
2018-02-08,57221274,NOIX sans label France vrac,,,5,98,le kg,,
2018-02-08,57219324,ORANGE vrac,1,29,2,35,1,81,le kg
2018-02-08,57219325,POIRE Abate Fétel hors Fr. vrac,,,2,64,le kg,,
2018-02-08,57219306,POIRE Conférence France vrac,,,2,42,le kg,,
2018-02-08,57219329,POIRE Conférence hors Fr. vrac,,,2,38,le kg,,
2018-02-08,57219310,POIRE Doyenne du comice France vrac,,,2,52,le kg,,
2018-02-08,57219331,POIRE Doyenne du comice hors Fr. vrac,,,3,39,le kg,,
2018-02-08,57219332,POIRE Williams verte hors Fr. vrac,,,2,93,le kg,,
2018-02-08,57219327,POMME Bicolore France sachet 2kg,1,25,1,4,1,36,le kg
2018-02-08,57219328,POMME Braeburn France +170g vrac,,,1,99,le kg,,
2018-02-08,57219226,POMME Gala France +170g vrac,,,2,9,le kg,,
2018-02-08,57219274,POMME Golden France 136/180g vrac,,,1,57,le kg,,
2018-02-08,57219227,POMME Golden France +170g vrac,,,2,3,le kg,,
2018-02-08,57219372,POMME Golden France biologique,,,3,33,le kg,,
2018-02-08,57219228,POMME Golden France sachet 2kg,1,1,4,1,3,le kg,
2018-02-08,57219229,POMME Granny smith France +170g vrac,,,2,9,le kg,,
2018-02-15,57219316,ANANAS standard (hors Victoria),1,19,2,19,1,88,la pièce
2018-02-15,57219214,BANANE Afrique vrac,,,1,6,le kg,,
2018-02-15,57219236,BANANE Amérique vrac,,,1,55,le kg,,
2018-02-15,57219375,BANANE biologique,1,49,1,99,1,81,le kg
2018-02-15,57219319,KIWI France cdt 1kg,,,2,88,le kg,,
2018-02-15,57222318,KIWI France vrac,0,35,0,49,0,44,la pièce
2018-02-15,57219321,KIWI UE (hors Fr.) cdt 1kg,,,2,14,le kg,,
2018-02-15,57219323,MANGUE vrac,0,89,1,99,1,29,la pièce
2018-02-15,57223741,NOIX AOP Grenoble vrac,,,6,31,le kg,,
2018-02-15,57223725,NOIX sans label France sachet 500g,,,7,84,le kg,,
2018-02-15,57221274,NOIX sans label France vrac,,,6,53,le kg,,
2018-02-15,57219324,ORANGE vrac,1,49,2,69,1,95,le kg
2018-02-15,57219325,POIRE Abate Fétel hors Fr. vrac,,,2,71,le kg,,
2018-02-15,57219306,POIRE Conférence France vrac,,,2,58,le kg,,
2018-02-15,57219329,POIRE Conférence hors Fr. vrac,,,2,46,le kg,,
2018-02-15,57219331,POIRE Doyenne du comice hors Fr. vrac,,,3,21,le kg,,
2018-02-15,57219332,POIRE Williams verte hors Fr. vrac,,,2,91,le kg,,
2018-02-15,57219327,POMME Bicolore France sachet 2kg,,,1,34,le kg,,
2018-02-15,57219328,POMME Braeburn France +170g vrac,,,2,6,le kg,,
2018-02-15,57219226,POMME Gala France +170g vrac,,,2,9,le kg,,
2018-02-15,57219274,POMME Golden France 136/180g vrac,,,1,61,le kg,,
2018-02-15,57219227,POMME Golden France +170g vrac,1,89,2,29,2,8,le kg
2018-02-15,57219372,POMME Golden France biologique,,,3,64,le kg,,
2018-02-15,57219228,POMME Golden France sachet 2kg,1,35,1,4,1,37,le kg
2018-02-15,57219229,POMME Granny smith France +170g vrac,,,2,7,le kg,,
2018-02-22,57219316,ANANAS standard (hors Victoria),1,19,2,9,1,65,la pièce
2018-02-22,57219214,BANANE Afrique vrac,,,1,61,le kg,,
2018-02-22,57219236,BANANE Amérique vrac,,,1,5,le kg,,
2018-02-22,57219375,BANANE biologique,1,39,1,99,1,8,le kg
2018-02-22,57219319,KIWI France cdt 1kg,,,2,91,le kg,,
2018-02-22,57222318,KIWI France vrac,0,35,0,49,0,46,la pièce
2018-02-22,57219321,KIWI UE (hors Fr.) cdt 1kg,,,2,61,le kg,,
2018-02-22,57219323,MANGUE vrac,0,89,1,99,1,39,la pièce
2018-02-22,57223741,NOIX AOP Grenoble vrac,,,6,41,le kg,,
2018-02-22,57223725,NOIX sans label France sachet 500g,,,7,57,le kg,,
2018-02-22,57221274,NOIX sans label France vrac,,,6,6,le kg,,
2018-02-22,57219324,ORANGE vrac,0,99,2,69,1,83,le kg
2018-02-22,57219325,POIRE Abate Fétel hors Fr. vrac,,,2,66,le kg,,
2018-02-22,57219306,POIRE Conférence France vrac,,,2,66,le kg,,
2018-02-22,57219329,POIRE Conférence hors Fr. vrac,,,2,16,le kg,,
2018-02-22,57219331,POIRE Doyenne du comice hors Fr. vrac,,,3,19,le kg,,
2018-02-22,57219332,POIRE Williams verte hors Fr. vrac,,,2,83,le kg,,
2018-02-22,57219327,POMME Bicolore France sachet 2kg,1,25,1,4,1,34,le kg
2018-02-22,57219328,POMME Braeburn France +170g vrac,,,2,6,le kg,,
2018-02-22,57219226,POMME Gala France +170g vrac,,,2,11,le kg,,
2018-02-22,57219274,POMME Golden France 136/180g vrac,,,1,71,le kg,,
2018-02-22,57219227,POMME Golden France +170g vrac,1,49,2,29,1,96,le kg
2018-02-22,57219372,POMME Golden France biologique,,,3,37,le kg,,
2018-02-22,57219228,POMME Golden France sachet 2kg,0,85,1,4,1,29,le kg
2018-02-22,57219229,POMME Granny smith France +170g vrac,,,2,3,le kg,,
2018-03-01,57219316,ANANAS standard (hors Victoria),1,19,2,19,1,75,la pièce
2018-03-01,57219214,BANANE Afrique vrac,,,1,46,le kg,,
2018-03-01,57219236,BANANE Amérique vrac,,,1,31,le kg,,
2018-03-01,57219375,BANANE biologique,1,49,1,99,1,9,le kg
2018-03-01,57219333,FRAISE standard hors Fr. barq.500g,,,3,94,le kg,,
2018-03-01,57219319,KIWI France cdt 1kg,,,2,84,le kg,,
2018-03-01,57222318,KIWI France vrac,0,39,0,5,0,46,la pièce
2018-03-01,57219321,KIWI UE (hors Fr.) cdt 1kg,,,2,75,le kg,,
2018-03-01,57219323,MANGUE vrac,0,89,2,1,4,la pièce,
2018-03-01,57223741,NOIX AOP Grenoble vrac,,,6,32,le kg,,
2018-03-01,57223725,NOIX sans label France sachet 500g,,,7,88,le kg,,
2018-03-01,57221274,NOIX sans label France vrac,,,6,67,le kg,,
2018-03-01,57219324,ORANGE vrac,1,39,2,66,1,85,le kg
2018-03-01,57219325,POIRE Abate Fétel hors Fr. vrac,,,2,69,le kg,,
2018-03-01,57219306,POIRE Conférence France vrac,,,2,66,le kg,,
2018-03-01,57219329,POIRE Conférence hors Fr. vrac,,,2,29,le kg,,
2018-03-01,57219331,POIRE Doyenne du comice hors Fr. vrac,,,3,17,le kg,,
2018-03-01,57219332,POIRE Williams verte hors Fr. vrac,,,2,89,le kg,,
2018-03-01,57219327,POMME Bicolore France sachet 2kg,1,1,4,1,31,le kg,
2018-03-01,57219226,POMME Gala France +170g vrac,,,2,11,le kg,,
2018-03-01,57219274,POMME Golden France 136/180g vrac,,,1,73,le kg,,
2018-03-01,57219227,POMME Golden France +170g vrac,1,69,2,29,2,6,le kg
2018-03-01,57219372,POMME Golden France biologique,,,3,64,le kg,,
2018-03-01,57219228,POMME Golden France sachet 2kg,1,1,4,1,3,le kg,
2018-03-01,57219229,POMME Granny smith France +170g vrac,,,2,8,le kg,,
2018-03-08,57219316,ANANAS standard (hors Victoria),1,29,2,25,1,82,la pièce
2018-03-08,57219214,BANANE Afrique vrac,,,1,25,le kg,,
2018-03-08,57219236,BANANE Amérique vrac,,,1,43,le kg,,
2018-03-08,57219375,BANANE biologique,1,89,1,99,1,94,le kg
2018-03-08,57219333,FRAISE standard hors Fr. barq.500g,,,4,3,le kg,,
2018-03-08,57219319,KIWI France cdt 1kg,,,2,79,le kg,,
2018-03-08,57222318,KIWI France vrac,0,39,0,5,0,47,la pièce
2018-03-08,57219321,KIWI UE (hors Fr.) cdt 1kg,,,2,67,le kg,,
2018-03-08,57219323,MANGUE vrac,0,99,1,99,1,51,la pièce
2018-03-08,57219324,ORANGE vrac,1,39,1,99,1,75,le kg
2018-03-08,57219325,POIRE Abate Fétel hors Fr. vrac,,,2,68,le kg,,
2018-03-08,57219306,POIRE Conférence France vrac,,,2,11,le kg,,
2018-03-08,57219329,POIRE Conférence hors Fr. vrac,,,1,92,le kg,,
2018-03-08,57219331,POIRE Doyenne du comice hors Fr. vrac,,,3,11,le kg,,
2018-03-08,57219332,POIRE Williams verte hors Fr. vrac,,,2,86,le kg,,
2018-03-08,57219327,POMME Bicolore France sachet 2kg,1,35,1,4,1,38,le kg
2018-03-08,57219328,POMME Braeburn France +170g vrac,,,1,85,le kg,,
2018-03-08,57219294,POMME Gala France 136/180g vrac,,,2,1,le kg,,
2018-03-08,57219226,POMME Gala France +170g vrac,,,1,8,le kg,,
2018-03-08,57219274,POMME Golden France 136/180g vrac,,,1,97,le kg,,
2018-03-08,57219227,POMME Golden France +170g vrac,1,49,1,99,1,89,le kg
2018-03-08,57219372,POMME Golden France biologique,,,3,32,le kg,,
2018-03-08,57219228,POMME Golden France sachet 2kg,1,25,1,4,1,33,le kg
2018-03-08,57219229,POMME Granny smith France +170g vrac,,,2,15,le kg,,
2018-03-15,57219316,ANANAS standard (hors Victoria),1,69,2,25,1,91,la pièce
2018-03-15,57219214,BANANE Afrique vrac,,,1,28,le kg,,
2018-03-15,57219236,BANANE Amérique vrac,,,1,1,le kg,,
2018-03-15,57219375,BANANE biologique,1,89,1,99,1,95,le kg
2018-03-15,57219238,FRAISE Gariguette France barq.250g,,,13,16,le kg,,
2018-03-15,57219333,FRAISE standard hors Fr. barq.500g,2,58,3,58,3,31,le kg
2018-03-15,57219319,KIWI France cdt 1kg,,,2,89,le kg,,
2018-03-15,57222318,KIWI France vrac,0,39,0,49,0,47,la pièce
2018-03-15,57219321,KIWI UE (hors Fr.) cdt 1kg,,,2,22,le kg,,
2018-03-15,57219323,MANGUE vrac,0,99,1,99,1,44,la pièce
2018-03-15,57219324,ORANGE vrac,,,1,91,le kg,,
2018-03-15,57219325,POIRE Abate Fétel hors Fr. vrac,,,2,68,le kg,,
2018-03-15,57219306,POIRE Conférence France vrac,,,2,33,le kg,,
2018-03-15,57219329,POIRE Conférence hors Fr. vrac,,,2,25,le kg,,
2018-03-15,57219332,POIRE Williams verte hors Fr. vrac,,,2,92,le kg,,
2018-03-15,57219327,POMME Bicolore France sachet 2kg,,,1,38,le kg,,
2018-03-15,57219328,POMME Braeburn France +170g vrac,,,1,93,le kg,,
2018-03-15,57219226,POMME Gala France +170g vrac,,,2,2,le kg,,
2018-03-15,57219274,POMME Golden France 136/180g vrac,,,1,8,le kg,,
2018-03-15,57219227,POMME Golden France +170g vrac,1,79,2,29,2,7,le kg
2018-03-15,57219372,POMME Golden France biologique,,,3,25,le kg,,
2018-03-15,57219228,POMME Golden France sachet 2kg,1,25,1,4,1,35,le kg
2018-03-15,57219229,POMME Granny smith France +170g vrac,,,2,15,le kg,,
2018-03-22,57219316,ANANAS standard (hors Victoria),1,24,2,48,1,93,la pièce
2018-03-22,57219214,BANANE Afrique vrac,,,1,39,le kg,,
2018-03-22,57219236,BANANE Amérique vrac,,,1,47,le kg,,
2018-03-22,57219375,BANANE biologique,1,89,1,99,1,95,le kg
2018-03-22,57219238,FRAISE Gariguette France barq.250g,,,11,89,le kg,,
2018-03-22,57219333,FRAISE standard hors Fr. barq.500g,,,3,66,le kg,,
2018-03-22,57219319,KIWI France cdt 1kg,,,2,94,le kg,,
2018-03-22,57222318,KIWI France vrac,0,39,0,55,0,46,la pièce
2018-03-22,57219321,KIWI UE (hors Fr.) cdt 1kg,,,2,44,le kg,,
2018-03-22,57219323,MANGUE vrac,0,99,1,99,1,24,la pièce
2018-03-22,57219324,ORANGE vrac,1,49,1,99,1,86,le kg
2018-03-22,57219325,POIRE Abate Fétel hors Fr. vrac,,,2,68,le kg,,
2018-03-22,57219306,POIRE Conférence France vrac,,,2,55,le kg,,
2018-03-22,57219329,POIRE Conférence hors Fr. vrac,,,2,3,le kg,,
2018-03-22,57219332,POIRE Williams verte hors Fr. vrac,,,2,91,le kg,,
2018-03-22,57219327,POMME Bicolore France sachet 2kg,,,1,4,le kg,,
2018-03-22,57219328,POMME Braeburn France +170g vrac,,,2,4,le kg,,
2018-03-22,57219294,POMME Gala France 136/180g vrac,,,1,65,le kg,,
2018-03-22,57219226,POMME Gala France +170g vrac,,,1,98,le kg,,
2018-03-22,57219274,POMME Golden France 136/180g vrac,,,1,81,le kg,,
2018-03-22,57219227,POMME Golden France +170g vrac,1,29,2,29,1,95,le kg
2018-03-22,57219372,POMME Golden France biologique,,,3,33,le kg,,
2018-03-22,57219228,POMME Golden France sachet 2kg,1,25,1,45,1,38,le kg
2018-03-22,57219229,POMME Granny smith France +170g vrac,,,2,21,le kg,,
2018-03-29,57219316,ANANAS standard (hors Victoria),1,49,2,9,1,9,la pièce
2018-03-29,57219214,BANANE Afrique vrac,,,1,54,le kg,,
2018-03-29,57219236,BANANE Amérique vrac,,,1,53,le kg,,
2018-03-29,57219375,BANANE biologique,1,49,1,99,1,84,le kg
2018-03-29,57219238,FRAISE Gariguette France barq.250g,,,10,45,le kg,,
2018-03-29,57219333,FRAISE standard hors Fr. barq.500g,2,98,3,98,3,9,le kg
2018-03-29,57219319,KIWI France cdt 1kg,,,2,94,le kg,,
2018-03-29,57222318,KIWI France vrac,0,39,0,55,0,49,la pièce
2018-03-29,57219321,KIWI UE (hors Fr.) cdt 1kg,,,2,73,le kg,,
2018-03-29,57219323,MANGUE vrac,1,19,1,99,1,49,la pièce
2018-03-29,57219324,ORANGE vrac,,,1,85,le kg,,
2018-03-29,57219325,POIRE Abate Fétel hors Fr. vrac,,,2,65,le kg,,
2018-03-29,57219306,POIRE Conférence France vrac,,,2,48,le kg,,
2018-03-29,57219329,POIRE Conférence hors Fr. vrac,,,2,32,le kg,,
2018-03-29,57219332,POIRE Williams verte hors Fr. vrac,,,2,85,le kg,,
2018-03-29,57219327,POMME Bicolore France sachet 2kg,,,1,35,le kg,,
2018-03-29,57219328,POMME Braeburn France +170g vrac,,,2,14,le kg,,
2018-03-29,57219226,POMME Gala France +170g vrac,,,1,88,le kg,,
2018-03-29,57219274,POMME Golden France 136/180g vrac,,,2,2,le kg,,
2018-03-29,57219227,POMME Golden France +170g vrac,1,49,2,29,1,92,le kg
2018-03-29,57219372,POMME Golden France biologique,,,3,77,le kg,,
2018-03-29,57219228,POMME Golden France sachet 2kg,1,1,45,1,32,le kg,
2018-03-29,57219229,POMME Granny smith France +170g vrac,,,2,18,le kg,,
2018-04-05,57219316,ANANAS standard (hors Victoria),1,39,1,89,1,71,la pièce
2018-04-05,57219214,BANANE Afrique vrac,,,1,48,le kg,,
2018-04-05,57219236,BANANE Amérique vrac,,,1,56,le kg,,
2018-04-05,57219375,BANANE biologique,1,39,1,99,1,79,le kg
2018-04-05,57219238,FRAISE Gariguette France barq.250g,,,10,11,le kg,,
2018-04-05,57219373,FRAISE standard France barq.500g,,,9,98,le kg,,
2018-04-05,57219333,FRAISE standard hors Fr. barq.500g,,,4,le kg,,,
2018-04-05,57219319,KIWI France cdt 1kg,,,2,94,le kg,,
2018-04-05,57222318,KIWI France vrac,0,39,0,55,0,49,la pièce
2018-04-05,57219321,KIWI UE (hors Fr.) cdt 1kg,,,2,21,le kg,,
2018-04-05,57219323,MANGUE vrac,0,99,1,98,1,43,la pièce
2018-04-05,57219324,ORANGE vrac,,,1,74,le kg,,
2018-04-05,57219325,POIRE Abate Fétel hors Fr. vrac,,,2,27,le kg,,
2018-04-05,57219329,POIRE Conférence hors Fr. vrac,,,2,4,le kg,,
2018-04-05,57219332,POIRE Williams verte hors Fr. vrac,,,2,43,le kg,,
2018-04-05,57219327,POMME Bicolore France sachet 2kg,,,1,38,le kg,,
2018-04-05,57219226,POMME Gala France +170g vrac,,,2,13,le kg,,
2018-04-05,57219274,POMME Golden France 136/180g vrac,,,2,16,le kg,,
2018-04-05,57219227,POMME Golden France +170g vrac,,,2,14,le kg,,
2018-04-05,57219372,POMME Golden France biologique,,,3,63,le kg,,
2018-04-05,57219228,POMME Golden France sachet 2kg,,,1,4,le kg,,
2018-04-05,57219229,POMME Granny smith France +170g vrac,,,2,26,le kg,,
2018-04-12,57219316,ANANAS standard (hors Victoria),1,49,2,15,1,75,la pièce
2018-04-12,57219214,BANANE Afrique vrac,,,1,49,le kg,,
2018-04-12,57219236,BANANE Amérique vrac,,,1,54,le kg,,
